ID,label-0,label-1
J07A0962,0.808,0.19199999999999995
J07A0962,0.813,0.18700000000000006
J07A0962,0.771,0.22899999999999998
J07A0962,0.743,0.257
J07A0962,0.79,0.20999999999999996
J07A0962,0.82,0.18000000000000005
J07A0962,0.891,0.10899999999999999
J07A0962,0.767,0.23299999999999998
J07A0962,0.865,0.135
J07A0962,0.814,0.18600000000000005
J07A0962,0.808,0.19199999999999995
J07A0962,0.8,0.19999999999999996
J07A0962,0.748,0.252
J07A0962,0.833,0.16700000000000004
J07A0962,0.828,0.17200000000000004
J07A0962,0.818,0.18200000000000005
J07A0962,0.81,0.18999999999999995
J07A0962,0.876,0.124
J07A0962,0.797,0.20299999999999996
J07A0962,0.831,0.16900000000000004
J07A0962,0.804,0.19599999999999995
J07A0962,0.905,0.09499999999999997
J07A0962,0.896,0.10399999999999998
J07A0962,0.815,0.18500000000000005
J07A0962,0.843,0.15700000000000003
J07A0962,0.844,0.15600000000000003
J07A0962,0.804,0.19599999999999995
J07A0962,0.801,0.19899999999999995
J07A0962,0.868,0.132
J07A0962,0.86,0.14
J07A0962,0.807,0.19299999999999995
J07A0962,0.796,0.20399999999999996
J07A0962,0.817,0.18300000000000005
J07A0962,0.897,0.10299999999999998
J07A0962,0.865,0.135
J07A0962,0.804,0.19599999999999995
J07A0962,0.829,0.17100000000000004
J07A0962,0.822,0.17800000000000005
J07A0962,0.777,0.22299999999999998
J07A0962,0.788,0.21199999999999997
J07A0962,0.801,0.19899999999999995
J07A0962,0.799,0.20099999999999996
J07A0962,0.763,0.237
J07A0962,0.805,0.19499999999999995
J07A0962,0.952,0.04800000000000004
J07A0962,0.844,0.15600000000000003
J07A0962,0.831,0.16900000000000004
J07A0962,0.882,0.118
J07A0962,0.904,0.09599999999999997
J07A0962,0.917,0.08299999999999996
J07A0962,0.913,0.08699999999999997
J07A0962,0.81,0.18999999999999995
J07A0962,0.813,0.18700000000000006
J07A0962,0.821,0.17900000000000005
J07A0962,0.802,0.19799999999999995
J07A0962,0.809,0.19099999999999995
J07A0962,0.826,0.17400000000000004
J07A0962,0.754,0.246
J07A0962,0.777,0.22299999999999998
J07A0962,0.77,0.22999999999999998
J07A0962,0.781,0.21899999999999997
J07A0962,0.812,0.18799999999999994
J07A0962,0.801,0.19899999999999995
J07A0962,0.777,0.22299999999999998
J07A0962,0.717,0.28300000000000003
J07A0962,0.768,0.23199999999999998
J07A0962,0.815,0.18500000000000005
J07A0962,0.817,0.18300000000000005
J07A0962,0.885,0.11499999999999999
J07A0962,0.794,0.20599999999999996
J07A0962,0.781,0.21899999999999997
J07A0962,0.828,0.17200000000000004
J07A0962,0.821,0.17900000000000005
J07A0962,0.847,0.15300000000000002
J07A0962,0.801,0.19899999999999995
J07A0962,0.797,0.20299999999999996
J07A0962,0.96,0.040000000000000036
J07A0962,0.76,0.24
J07A0962,0.787,0.21299999999999997
J07A0962,0.778,0.22199999999999998
J07A0962,0.758,0.242
J07A0962,0.75,0.25
J07A0962,0.793,0.20699999999999996
J07A0962,0.784,0.21599999999999997
J07A0962,0.818,0.18200000000000005
J07A0962,0.754,0.246
J07A0962,0.823,0.17700000000000005
J07A0962,0.853,0.14700000000000002
J07A0962,0.792,0.20799999999999996
J07A0962,0.905,0.09499999999999997
J07A0962,0.81,0.18999999999999995
J07A0962,0.785,0.21499999999999997
J07A0962,0.783,0.21699999999999997
J07A0962,0.725,0.275
J07A0962,0.85,0.15000000000000002
J07A0962,0.771,0.22899999999999998
J07A0962,0.753,0.247
J07A0962,0.816,0.18400000000000005
J07A0962,0.798,0.20199999999999996
J07A0962,0.76,0.24
J07A0962,0.762,0.238
J07A0962,0.755,0.245
J07A0962,0.766,0.23399999999999999
J07A0962,0.848,0.15200000000000002
J07A0962,0.771,0.22899999999999998
J07A0962,0.854,0.14600000000000002
J07A0962,0.764,0.236
J07A0962,0.88,0.12
J07A0962,0.772,0.22799999999999998
J07A0962,0.819,0.18100000000000005
J07A0962,0.843,0.15700000000000003
J07A0962,0.796,0.20399999999999996
J07A0962,0.806,0.19399999999999995
J07A0962,0.931,0.06899999999999995
J07A0962,0.85,0.15000000000000002
J07A0962,0.789,0.21099999999999997
J07A0962,0.938,0.062000000000000055
J07A0962,0.872,0.128
J07A0962,0.849,0.15100000000000002
J07A0962,0.797,0.20299999999999996
J07A0962,0.859,0.14100000000000001
J07A0962,0.913,0.08699999999999997
J07A0962,0.776,0.22399999999999998
J07A0962,0.818,0.18200000000000005
J07A0962,0.841,0.15900000000000003
J07A0962,0.854,0.14600000000000002
J07A0962,0.901,0.09899999999999998
J07A0962,0.872,0.128
J07A0962,0.78,0.21999999999999997
J07A0962,0.791,0.20899999999999996
J07A0962,0.77,0.22999999999999998
J07A0962,0.821,0.17900000000000005
J07A0962,0.725,0.275
J07A0962,0.716,0.28400000000000003
J07A0962,0.775,0.22499999999999998
J07A0962,0.748,0.252
J07A0962,0.711,0.28900000000000003
J07A0962,0.703,0.29700000000000004
J07A0962,0.899,0.10099999999999998
J07A0962,0.86,0.14
J07A0962,0.81,0.18999999999999995
J07A0962,0.774,0.22599999999999998
J07A0962,0.783,0.21699999999999997
J07A0962,0.797,0.20299999999999996
J07A0962,0.809,0.19099999999999995
J07A0962,0.758,0.242
J07A0962,0.846,0.15400000000000003
J07A0962,0.822,0.17800000000000005
J07A0962,0.803,0.19699999999999995
J07A0962,0.803,0.19699999999999995
J07A0962,0.781,0.21899999999999997
J07A0962,0.801,0.19899999999999995
J07A0962,0.758,0.242
J07A0962,0.763,0.237
J07A0962,0.841,0.15900000000000003
J07A0962,0.869,0.131
J07A0962,0.825,0.17500000000000004
J07A0962,0.907,0.09299999999999997
J07A0962,0.885,0.11499999999999999
J07A0962,0.82,0.18000000000000005
J07A0962,0.783,0.21699999999999997
J07A0962,0.799,0.20099999999999996
J07A0962,0.849,0.15100000000000002
J07A0962,0.817,0.18300000000000005
J07A0962,0.762,0.238
J07A0962,0.777,0.22299999999999998
J07A0962,0.822,0.17800000000000005
J07A0962,0.858,0.14200000000000002
J07A0962,0.854,0.14600000000000002
J07A0962,0.845,0.15500000000000003
J07A0962,0.881,0.119
J07A0962,0.788,0.21199999999999997
J07A0962,0.862,0.138
J07A0962,0.921,0.07899999999999996
J07A0962,0.888,0.11199999999999999
J07A0962,0.904,0.09599999999999997
J07A0962,0.843,0.15700000000000003
J07A0962,0.877,0.123
J07A0962,0.818,0.18200000000000005
J07A0962,0.839,0.16100000000000003
J07A0962,0.859,0.14100000000000001
J07A0962,0.874,0.126
J07A0962,0.875,0.125
J07A0962,0.812,0.18799999999999994
J07A0962,0.84,0.16000000000000003
J07A0962,0.907,0.09299999999999997
J07A0962,0.822,0.17800000000000005
J07A0962,0.838,0.16200000000000003
J07A0962,0.831,0.16900000000000004
J07A0962,0.835,0.16500000000000004
J07A0962,0.803,0.19699999999999995
J07A0962,0.811,0.18899999999999995
J07A0962,0.831,0.16900000000000004
J07A0962,0.838,0.16200000000000003
J07A0962,0.829,0.17100000000000004
J07A0962,0.851,0.14900000000000002
J07A0962,0.861,0.139
J07A0962,0.842,0.15800000000000003
J07A0962,0.806,0.19399999999999995
J07A0962,0.902,0.09799999999999998
J07A0962,0.822,0.17800000000000005
J07A0962,0.874,0.126
J07A0962,0.825,0.17500000000000004
J07A0962,0.787,0.21299999999999997
J07A0962,0.807,0.19299999999999995
J07A0962,0.786,0.21399999999999997
J07A0962,0.819,0.18100000000000005
J07A0962,0.809,0.19099999999999995
J07A0962,0.749,0.251
J07A0962,0.78,0.21999999999999997
J07A0962,0.735,0.265
J07A0962,0.763,0.237
J07A0962,0.783,0.21699999999999997
J07A0962,0.836,0.16400000000000003
J07A0962,0.857,0.14300000000000002
J07A0962,0.868,0.132
J07A0962,0.845,0.15500000000000003
J07A0962,0.815,0.18500000000000005
J07A0962,0.821,0.17900000000000005
J07A0962,0.778,0.22199999999999998
J07A0962,0.815,0.18500000000000005
J07A0962,0.792,0.20799999999999996
J07A0962,0.786,0.21399999999999997
J07A0962,0.79,0.20999999999999996
J07A0962,0.811,0.18899999999999995
J07A0962,0.812,0.18799999999999994
J07A0962,0.839,0.16100000000000003
J07A0962,0.785,0.21499999999999997
J07A0962,0.842,0.15800000000000003
J07A0962,0.791,0.20899999999999996
J07A0962,0.896,0.10399999999999998
J07A0962,0.861,0.139
J07A0962,0.795,0.20499999999999996
J07A0962,0.753,0.247
J07A0962,0.728,0.272
J07A0962,0.717,0.28300000000000003
J07A3179,0.802,0.19799999999999995
J07A3179,0.912,0.08799999999999997
J07A3179,0.922,0.07799999999999996
J07A3179,0.889,0.11099999999999999
J07A3179,0.836,0.16400000000000003
J07A3179,0.848,0.15200000000000002
J07A3179,0.867,0.133
J07A3179,0.867,0.133
J07A3179,0.842,0.15800000000000003
J07A3179,0.898,0.10199999999999998
J07A3179,0.818,0.18200000000000005
J07A3179,0.839,0.16100000000000003
J07A3179,0.77,0.22999999999999998
J07A3179,0.899,0.10099999999999998
J07A3179,0.901,0.09899999999999998
J07A3179,0.808,0.19199999999999995
J07A3179,0.899,0.10099999999999998
J07A3179,0.806,0.19399999999999995
J07A3179,0.79,0.20999999999999996
J07A3179,0.955,0.04500000000000004
J07A3179,0.873,0.127
J07A3179,0.895,0.10499999999999998
J07A3179,0.912,0.08799999999999997
J07A3179,0.894,0.10599999999999998
J07A3179,0.813,0.18700000000000006
J07A3179,0.789,0.21099999999999997
J07A3179,0.836,0.16400000000000003
J07A3179,0.818,0.18200000000000005
J07A3179,0.888,0.11199999999999999
J07A3179,0.828,0.17200000000000004
J07A3179,0.878,0.122
J07A3179,0.847,0.15300000000000002
J07A3179,0.874,0.126
J07A3179,0.926,0.07399999999999995
J07A3179,0.87,0.13
J07A3179,0.936,0.06399999999999995
J07A3179,0.909,0.09099999999999997
J07A3179,0.933,0.06699999999999995
J07A3179,0.893,0.10699999999999998
J07A3179,0.811,0.18899999999999995
J07A3179,0.838,0.16200000000000003
J07A3179,0.822,0.17800000000000005
J07A3179,0.891,0.10899999999999999
J07A3179,0.818,0.18200000000000005
J07A3179,0.8,0.19999999999999996
J07A3179,0.838,0.16200000000000003
J07A3179,0.821,0.17900000000000005
J07A3179,0.843,0.15700000000000003
J07A3179,0.836,0.16400000000000003
J07A3179,0.83,0.17000000000000004
J07A3179,0.899,0.10099999999999998
J07A3179,0.81,0.18999999999999995
J07A3179,0.807,0.19299999999999995
J07A3179,0.88,0.12
J07A3179,0.836,0.16400000000000003
J07A3179,0.886,0.11399999999999999
J07A3179,0.804,0.19599999999999995
J07A3179,0.813,0.18700000000000006
J07A3179,0.89,0.10999999999999999
J07A3179,0.912,0.08799999999999997
J07A3179,0.798,0.20199999999999996
J07A3179,0.826,0.17400000000000004
J07A3179,0.833,0.16700000000000004
J07A3179,0.883,0.11699999999999999
J07A3179,0.885,0.11499999999999999
J07A3179,0.864,0.136
J07A3179,0.911,0.08899999999999997
J07A3179,0.926,0.07399999999999995
J07A3179,0.871,0.129
J07A3179,0.847,0.15300000000000002
J07A3179,0.889,0.11099999999999999
J07A3179,0.89,0.10999999999999999
J07A3179,0.887,0.11299999999999999
J07A3179,0.798,0.20199999999999996
J07A3179,0.75,0.25
J07A3179,0.91,0.08999999999999997
J07A3179,0.867,0.133
J07A3179,0.811,0.18899999999999995
J07A3179,0.867,0.133
J07A3179,0.789,0.21099999999999997
J07A3179,0.813,0.18700000000000006
J07A3179,0.856,0.14400000000000002
J07A3179,0.861,0.139
J07A3179,0.894,0.10599999999999998
J07A3179,0.897,0.10299999999999998
J07A3179,0.811,0.18899999999999995
J07A3179,0.935,0.06499999999999995
J07A3179,0.94,0.06000000000000005
J07A3179,0.916,0.08399999999999996
J07A3179,0.914,0.08599999999999997
J07A3179,0.83,0.17000000000000004
J07A3179,0.888,0.11199999999999999
J07A3179,0.813,0.18700000000000006
J07A3179,0.802,0.19799999999999995
J07A3179,0.818,0.18200000000000005
J07A3179,0.803,0.19699999999999995
J07A3179,0.844,0.15600000000000003
J07A3179,0.918,0.08199999999999996
J07A3179,0.844,0.15600000000000003
J07A3179,0.842,0.15800000000000003
J07A3179,0.86,0.14
J07A3179,0.789,0.21099999999999997
J07A3179,0.867,0.133
J07A3179,0.848,0.15200000000000002
J07A3179,0.93,0.06999999999999995
J07A3179,0.774,0.22599999999999998
J07A3179,0.828,0.17200000000000004
J07A3179,0.904,0.09599999999999997
J07A3179,0.813,0.18700000000000006
J07A3179,0.784,0.21599999999999997
J07A3179,0.897,0.10299999999999998
J07A3179,0.796,0.20399999999999996
J07A3179,0.871,0.129
J07A3179,0.819,0.18100000000000005
J07A3179,0.879,0.121
J07A3179,0.869,0.131
J07A3179,0.769,0.23099999999999998
J07A3179,0.859,0.14100000000000001
J07A3179,0.876,0.124
J07A3179,0.903,0.09699999999999998
J07A3179,0.857,0.14300000000000002
J07A3179,0.835,0.16500000000000004
J07A3179,0.818,0.18200000000000005
J07A3179,0.823,0.17700000000000005
J07A3179,0.895,0.10499999999999998
J07A3179,0.808,0.19199999999999995
J07A3179,0.817,0.18300000000000005
J07A3179,0.806,0.19399999999999995
J07A3179,0.842,0.15800000000000003
J07A3179,0.906,0.09399999999999997
J07A3179,0.766,0.23399999999999999
J07A3179,0.818,0.18200000000000005
J07A3179,0.862,0.138
J07A3179,0.872,0.128
J07A3179,0.733,0.267
J07A3179,0.797,0.20299999999999996
J07A3179,0.895,0.10499999999999998
J07A3179,0.798,0.20199999999999996
J07A3179,0.893,0.10699999999999998
J07A3179,0.91,0.08999999999999997
J07A3179,0.92,0.07999999999999996
J07A3179,0.842,0.15800000000000003
J07A3179,0.881,0.119
J07A3179,0.878,0.122
J07A3179,0.82,0.18000000000000005
J07A3179,0.851,0.14900000000000002
J07A3179,0.849,0.15100000000000002
J07A3179,0.885,0.11499999999999999
J07A3179,0.903,0.09699999999999998
J07A3179,0.783,0.21699999999999997
J07A3179,0.867,0.133
J07A3179,0.784,0.21599999999999997
J07A3179,0.869,0.131
J07A3179,0.805,0.19499999999999995
J07A3179,0.95,0.050000000000000044
J07A3179,0.841,0.15900000000000003
J07A3179,0.84,0.16000000000000003
J07A3179,0.764,0.236
J07A3179,0.779,0.22099999999999997
J07A3179,0.764,0.236
J07A3179,0.911,0.08899999999999997
J07A3179,0.902,0.09799999999999998
J07A3179,0.91,0.08999999999999997
J07A3179,0.815,0.18500000000000005
J07A3179,0.835,0.16500000000000004
J07A3179,0.824,0.17600000000000005
J07A3179,0.901,0.09899999999999998
J07A3179,0.822,0.17800000000000005
J07A3179,0.882,0.118
J07A3179,0.852,0.14800000000000002
J07A3179,0.828,0.17200000000000004
J07A3179,0.893,0.10699999999999998
J07A3179,0.883,0.11699999999999999
J07A3179,0.877,0.123
J07A3179,0.743,0.257
J07A3179,0.826,0.17400000000000004
J07A3179,0.842,0.15800000000000003
J07A3179,0.857,0.14300000000000002
J07A3179,0.842,0.15800000000000003
J07A3179,0.761,0.239
J07A3179,0.801,0.19899999999999995
J07A3179,0.82,0.18000000000000005
J07A3179,0.916,0.08399999999999996
J07A3179,0.8,0.19999999999999996
J07A3179,0.865,0.135
J07A3179,0.829,0.17100000000000004
J07A3179,0.92,0.07999999999999996
J07A3179,0.773,0.22699999999999998
J07A3179,0.819,0.18100000000000005
J07A3179,0.885,0.11499999999999999
J07A3179,0.89,0.10999999999999999
J07A3179,0.892,0.10799999999999998
J07A3179,0.913,0.08699999999999997
J07A3179,0.871,0.129
J07A3179,0.836,0.16400000000000003
J07A3179,0.931,0.06899999999999995
J07A3179,0.813,0.18700000000000006
J07A3179,0.934,0.06599999999999995
J07A3179,0.91,0.08999999999999997
J07A3179,0.831,0.16900000000000004
J07A3179,0.857,0.14300000000000002
J07A3179,0.869,0.131
J07A3179,0.902,0.09799999999999998
J07A3179,0.927,0.07299999999999995
J07A3179,0.913,0.08699999999999997
J07A3179,0.881,0.119
J07A3179,0.835,0.16500000000000004
J07A3179,0.856,0.14400000000000002
J07A3179,0.909,0.09099999999999997
J07A3179,0.876,0.124
J07A3179,0.821,0.17900000000000005
J07A3179,0.942,0.05800000000000005
J07A3179,0.876,0.124
J07A3179,0.862,0.138
J07A3179,0.796,0.20399999999999996
J07A3179,0.915,0.08499999999999996
J07A3179,0.931,0.06899999999999995
J07A3179,0.899,0.10099999999999998
J07A3179,0.842,0.15800000000000003
J07A3179,0.91,0.08999999999999997
J07A3179,0.798,0.20199999999999996
J07A3102,0.87,0.13
J07A3102,0.907,0.09299999999999997
J07A3102,0.893,0.10699999999999998
J07A3102,0.87,0.13
J07A3102,0.864,0.136
J07A3102,0.894,0.10599999999999998
J07A3102,0.888,0.11199999999999999
J07A3102,0.92,0.07999999999999996
J07A3102,0.831,0.16900000000000004
J07A3102,0.893,0.10699999999999998
J07A3102,0.909,0.09099999999999997
J07A3102,0.909,0.09099999999999997
J07A3102,0.874,0.126
J07A3102,0.782,0.21799999999999997
J07A3102,0.909,0.09099999999999997
J07A3102,0.919,0.08099999999999996
J07A3102,0.844,0.15600000000000003
J07A3102,0.85,0.15000000000000002
J07A3102,0.866,0.134
J07A3102,0.837,0.16300000000000003
J07A3102,0.823,0.17700000000000005
J07A3102,0.9,0.09999999999999998
J07A3102,0.877,0.123
J07A3102,0.878,0.122
J07A3102,0.88,0.12
J07A3102,0.857,0.14300000000000002
J07A3102,0.879,0.121
J07A3102,0.888,0.11199999999999999
J07A3102,0.878,0.122
J07A3102,0.867,0.133
J07A3102,0.867,0.133
J07A3102,0.892,0.10799999999999998
J07A3102,0.935,0.06499999999999995
J07A3102,0.908,0.09199999999999997
J07A3102,0.876,0.124
J07A3102,0.912,0.08799999999999997
J07A3102,0.901,0.09899999999999998
J07A3102,0.924,0.07599999999999996
J07A3102,0.901,0.09899999999999998
J07A3102,0.838,0.16200000000000003
J07A3102,0.892,0.10799999999999998
J07A3102,0.823,0.17700000000000005
J07A3102,0.834,0.16600000000000004
J07A3102,0.79,0.20999999999999996
J07A3102,0.894,0.10599999999999998
J07A3102,0.853,0.14700000000000002
J07A3102,0.915,0.08499999999999996
J07A3102,0.917,0.08299999999999996
J07A3102,0.936,0.06399999999999995
J07A3102,0.927,0.07299999999999995
J07A3102,0.924,0.07599999999999996
J07A3102,0.923,0.07699999999999996
J07A3102,0.924,0.07599999999999996
J07A3102,0.857,0.14300000000000002
J07A3102,0.863,0.137
J07A3102,0.814,0.18600000000000005
J07A3102,0.899,0.10099999999999998
J07A3102,0.896,0.10399999999999998
J07A3102,0.841,0.15900000000000003
J07A3102,0.93,0.06999999999999995
J07A3102,0.898,0.10199999999999998
J07A3102,0.814,0.18600000000000005
J07A3102,0.906,0.09399999999999997
J07A3102,0.856,0.14400000000000002
J07A3102,0.909,0.09099999999999997
J07A3102,0.856,0.14400000000000002
J07A3102,0.875,0.125
J07A3102,0.933,0.06699999999999995
J07A3102,0.931,0.06899999999999995
J07A3102,0.909,0.09099999999999997
J07A3102,0.852,0.14800000000000002
J07A3102,0.733,0.267
J07A3102,0.882,0.118
J07A3102,0.862,0.138
J07A3102,0.903,0.09699999999999998
J07A3102,0.912,0.08799999999999997
J07A3102,0.893,0.10699999999999998
J07A3102,0.889,0.11099999999999999
J07A3102,0.916,0.08399999999999996
J07A3102,0.922,0.07799999999999996
J07A3102,0.749,0.251
J07A3102,0.817,0.18300000000000005
J07A3102,0.861,0.139
J07A3102,0.904,0.09599999999999997
J07A3102,0.864,0.136
J07A3102,0.846,0.15400000000000003
J07A3102,0.915,0.08499999999999996
J07A3102,0.903,0.09699999999999998
J07A3102,0.913,0.08699999999999997
J07A3102,0.866,0.134
J07A3102,0.869,0.131
J07A3102,0.919,0.08099999999999996
J07A3102,0.913,0.08699999999999997
J07A3102,0.917,0.08299999999999996
J07A3102,0.91,0.08999999999999997
J07A3102,0.92,0.07999999999999996
J07A3102,0.846,0.15400000000000003
J07A3102,0.792,0.20799999999999996
J07A3102,0.846,0.15400000000000003
J07A3102,0.867,0.133
J07A3102,0.912,0.08799999999999997
J07A3102,0.923,0.07699999999999996
J07A3102,0.919,0.08099999999999996
J07A3102,0.82,0.18000000000000005
J07A3102,0.875,0.125
J07A3102,0.916,0.08399999999999996
J07A3102,0.904,0.09599999999999997
J07A3102,0.816,0.18400000000000005
J07A3102,0.855,0.14500000000000002
J07A3102,0.896,0.10399999999999998
J07A3102,0.867,0.133
J07A3102,0.893,0.10699999999999998
J07A3102,0.866,0.134
J07A3102,0.878,0.122
J07A3102,0.852,0.14800000000000002
J07A3102,0.872,0.128
J07A3102,0.871,0.129
J07A3102,0.911,0.08899999999999997
J07A3102,0.876,0.124
